model,best_params,accuracy,precision_malignant,recall_malignant,f1_malignant,precision_benign,recall_benign,f1_benign,roc_auc
Logistic Regression,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.996031746031746
Random Forest,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445782,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9938822751322751
Support Vector Machine,"{'clf__C': 2.0, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9855072463768116,0.9444444444444444,0.9645390070921985,0.9970238095238095
